"value","group"
0.964159742502226,"分布B"
1.58535337181922,"分布B"
0.335871860150844,"分布B"
2.20080397464418,"分布B"
4.67800857759733,"分布B"
5.63324503287738,"分布B"
0.384756646822383,"分布B"
2.72891166560465,"分布B"
4.08278260811644,"分布B"
1.70651477407318,"分布B"
1.67273780344068,"分布B"
1.54283306818033,"分布B"
2.89674908616716,"分布B"
4.09614411622364,"分布B"
3.03142964185995,"分布B"
2.48028202144545,"分布B"
1.54719511133411,"分布B"
2.74752302833692,"分布B"
1.17569462312487,"分布B"
1.58111524454414,"分布B"
3.6447701646676,"分布B"
2.66301963226822,"分布B"
2.36152444103917,"分布B"
1.61658851696672,"分布B"
3.39654935222732,"分布B"
4.00236887806321,"分布B"
0.696092354186837,"分布B"
2.08323043199765,"分布B"
2.07360036978788,"分布B"
1.13246640745865,"分布B"
0.501892016005994,"分布B"
1.9963508299901,"分布B"
2.98326782421945,"分布B"
4.21526341846483,"分布B"
-0.863729182418821,"分布B"
0.946340790031386,"分布B"
1.53285467298212,"分布B"
-0.494735546001063,"分布B"
0.874199837311565,"分布B"
0.833972361227738,"分布B"
0.916145450210596,"分布B"
-1.2832518987206,"分布B"
2.32012782542983,"分布B"
1.05211559561775,"分布B"
4.28073679074824,"分布B"
3.19393392412262,"分布B"
-0.180294347699199,"分布B"
2.14759313150876,"分布B"
1.10934352365027,"分布B"
3.33242175295177,"分布B"
2.079605623248,"分布B"
1.16446456123302,"分布B"
2.65759555425908,"分布B"
2.22891223796363,"分布B"
1.75307362737565,"分布B"
5.02983593221396,"分布B"
1.20592117052411,"分布B"
1.29381954052394,"分布B"
-0.318905386026285,"分布B"
1.93920991505723,"分布B"
3.33553445820601,"分布B"
-1.10708177639382,"分布B"
1.62490231989047,"分布B"
0.227524360020023,"分布B"
4.16290589752536,"分布B"
4.03684330831829,"分布B"
2.50175427101097,"分布B"
4.14400712060034,"分布B"
0.699023223681973,"分布B"
3.42597758745783,"分布B"
1.12248273705015,"分布B"
2.48143628378844,"分布B"
1.55090597500264,"分布B"
1.5821853750604,"分布B"
2.8191727374943,"分布B"
